Review
"atmin, kok saya tidak bisa login 😠😠😠😠😠, kami ingin berpartisipasi di Olimpiade ki Hajar ini. gara gara sistem nya macet, kami tidak berkesempatan untuk mengikuti event ini. kami kecewa 😭😭😭😭😭"
"Error ga bisa daftar email sama passwoed dah bener tapi tetep ga bisa,lewat website juga ga bisa"
Game nya bagus bisa dimainin untuk anak-anak yang sakit jiwa
"Gabisa login, logout selalu"
"Bagus banget, banyak masalahnya udh kayak lomba gacha"
"Bank soal gk menapilkan apa2, tampilan aplikasi agak jadul"
"Lag parah, sering logout sendiri"
Bagus banget sampe error nya banyak
"Bagus banget, banyak masalahnya"
Update fitur nya lek
min login nya agak sulit saya di pekok pekok in sama bu guru
Gabisa login ulang ulang ulang
Eror bang ngga bisa masuk link pengerjaan🗿
gaji elit sistem sulit🗣️🗣️🗣️
Keluar sendiri gak bisa Login lagi
Sukses untuk pelaksanaan kihajar stem. Cak yo...
admin ngga gercep
Bagus sekali
"Bagus banget aplikasi nya, bisa otomatis keluar jadi tidak perlu repot nekan tombol home. Buat login juga keamanan terjamin karena data disembunyikan dan diberi tulisan error. Desainnya juga sangat bagus, memakai ilustrasi gratis sehingga tidak boros dalam penggunaan anggaran. Aplikasi juga tidak ribet dengan berbagai fitur yang tidak 'Penting'. Aplikasi sangat bagus maka saya beri bintang 5⁰ (dari 100)"
"error, gabisa login"
Eh ternyata udah bisa jirrr 🙏
Selalu error ketika login
Tidur aje
Error
suka ngeleg males
Error
Sistem lucu
